"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"cn.CHODL.AS1",0.000517253230168153,"greater","cn","CHODL.AS1",5552,1715,3139
"cn.SIM2",0.00051808931496282,"greater","cn","SIM2",5553,1716,3140
"cn.ETF1",0.000519133205515442,"less","cn","ETF1",5554,1717,2795
"cn.CNGB1",0.000520394526710383,"less","cn","CNGB1",5555,1718,2796
"cn.AMFR",0.00052044770853127,"less","cn","AMFR",5556,1719,2797
"cn.NUDT21",0.00052044770853127,"less","cn","NUDT21",5556,1720,2798
"cn.OGFOD1",0.00052044770853127,"less","cn","OGFOD1",5556,1721,2799
"ge.PAK7",0.000521291842466238,"greater","ge","PAK7",5557,4219,3141
"ge.INPP1",0.000523001150065036,"less","ge","INPP1",5558,4220,2800
"ge.VASH1",0.000523687009465846,"greater","ge","VASH1",5559,4221,3142
"ge.TCP11L1",0.000524185650958784,"less","ge","TCP11L1",5560,4222,2801
"cn.DNMT3B",0.000524791919712304,"less","cn","DNMT3B",5561,1722,2802
"ge.LAPTM4B",0.000525288145810023,"less","ge","LAPTM4B",5562,4223,2803
"ge.TRIM66",0.000525305860005134,"greater","ge","TRIM66",5563,4224,3143
"cn.SLC17A9",0.00052547930364947,"less","cn","SLC17A9",5564,1723,2804
"ge.CLPP",0.000525727246597093,"greater","ge","CLPP",5565,4225,3144
"cn.CHODL",0.000526149635977743,"greater","cn","CHODL",5566,1724,3145
"ge.SELL",0.000527164632209395,"greater","ge","SELL",5567,4226,3146
"ge.DPP9",0.000528366031707828,"less","ge","DPP9",5568,4227,2805
"ge.PDPN",0.00052894630961675,"less","ge","PDPN",5569,4228,2806
"ge.TPM2",0.000529226516558586,"less","ge","TPM2",5570,4229,2807
"cn.SNORA46",0.000530479646232596,"less","cn","SNORA46",5571,1725,2808
"cn.SNORA50A",0.000530479646232596,"less","cn","SNORA50A",5571,1726,2809
"cn.ARAP3",0.000530770565986593,"less","cn","ARAP3",5572,1727,2810
"cn.FCHSD1",0.000530770565986593,"less","cn","FCHSD1",5572,1728,2811
"cn.HDAC3",0.000530770565986593,"less","cn","HDAC3",5572,1729,2812
"cn.RELL2",0.000530770565986593,"less","cn","RELL2",5572,1730,2813
"ge.PHB",0.000530897152175223,"less","ge","PHB",5573,4230,2814
"ge.ENO3",0.000531504848127438,"greater","ge","ENO3",5574,4231,3147
"ge.SIX1",0.000532083565078559,"less","ge","SIX1",5575,4232,2815
"ge.CAMK4",0.000532124631979408,"greater","ge","CAMK4",5576,4233,3148
"cn.UNC93A",0.00053264314852037,"greater","cn","UNC93A",5577,1731,3149
"ge.AMBRA1",0.000532933848875154,"greater","ge","AMBRA1",5578,4234,3150
"ge.LIMK1",0.000533672897219347,"less","ge","LIMK1",5579,4235,2816
"ge.CLDN7",0.00053406147183574,"less","ge","CLDN7",5580,4236,2817
"ge.IL7",0.0005341354711265,"less","ge","IL7",5581,4237,2818
"ge.RBMXL1",0.000534435403564037,"greater","ge","RBMXL1",5582,4238,3151
